date,location,total_cases,new_cases,total_deaths,population,cases_per_million,MA7,death_rate
2020-07-02,United States,2686480.0,52048.0,128062.0,331002647.0,8116.188871444281,43588.42857142857,0.047669068818677225
2020-07-03,United States,2739879.0,53399.0,128740.0,331002647.0,8277.513865319632,45367.0,0.04698747645425218
2020-07-04,United States,2794321.0,54442.0,129434.0,331002647.0,8441.989891398058,46640.57142857143,0.04632037622019804
2020-07-05,United States,2839542.0,45221.0,129676.0,331002647.0,8578.608134212292,47031.28571428572,0.04566792813770672
2020-07-06,United States,2888635.0,49093.0,129947.0,331002647.0,8726.924168675907,48519.857142857145,0.044985607388957065
2020-07-07,United States,2938625.0,49990.0,130306.0,331002647.0,8877.950151256646,49724.71428571428,0.044342507124930874
2020-07-08,United States,2996098.0,57473.0,131480.0,331002647.0,9051.58320380441,51666.57142857143,0.04388374479072447
2020-07-09,United States,3055004.0,58906.0,132309.0,331002647.0,9229.54552686704,52646.28571428572,0.043308944931005
2020-07-10,United States,3118008.0,63004.0,133291.0,331002647.0,9419.888415575117,54018.42857142857,0.042748767803033216
2020-07-11,United States,3184633.0,66625.0,134097.0,331002647.0,9621.170793839603,55758.857142857145,0.04210752070960767
2020-07-12,United States,3247684.0,63051.0,134814.0,331002647.0,9811.65567536987,58306.0,0.04151081201249875
2020-07-13,United States,3304942.0,57258.0,135205.0,331002647.0,9984.639186284212,59472.42857142857,0.04090994637727379
2020-07-14,United States,3363056.0,58114.0,135605.0,331002647.0,10160.208779236742,60633.0,0.040321957172286156
2020-07-15,United States,3431574.0,68518.0,136466.0,331002647.0,10367.210144999233,62210.857142857145,0.039767756720385454
2020-07-16,United States,3499291.0,67717.0,137419.0,331002647.0,10571.791590536737,63469.57142857143,0.039270526515228374
2020-07-17,United States,3576221.0,76930.0,138358.0,331002647.0,10804.206650347422,65459.0,0.038688324910569005
2020-07-18,United States,3647715.0,71494.0,139266.0,331002647.0,11020.198880766051,66154.57142857143,0.03817896957410324
2020-07-19,United States,3711464.0,63749.0,140119.0,331002647.0,11212.792506762038,66254.28571428571,0.03775302683792703
2020-07-20,United States,3773260.0,61796.0,140534.0,331002647.0,11399.485877827437,66902.57142857143,0.03724471677011391
2020-07-21,United States,3830010.0,56750.0,140906.0,331002647.0,11570.93465781257,66707.71428571429,0.03678998227158676
2020-07-22,United States,3902058.0,72048.0,142066.0,331002647.0,11788.60059085872,67212.0,0.03640796728290559
2020-07-23,United States,3970906.0,68848.0,143190.0,331002647.0,11996.59892750042,67373.57142857143,0.036059780815763456
2020-07-24,United States,4034102.0,63196.0,144242.0,331002647.0,12187.521871992763,65411.57142857143,0.03575566507738277
2020-07-25,United States,4112529.0,78427.0,145546.0,331002647.0,12424.459554246405,66402.0,0.035390875055227575
2020-07-26,United States,4178027.0,65498.0,146460.0,331002647.0,12622.337125902199,66651.85714285714,0.03505482372421241
